fWutD9622Yi4Ij3112,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
NyBmC1423VuWGs1333,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
eQu1r4307eQu1r4507,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
z_6gV2869iVt071163,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
NyBmC4298,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
i3wAG4554,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
37rzW5066qqR6A3588,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
EE-bN799NyBmC3345,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
WG0MB6166cjibt11878,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
iVt0713004wU_L1374,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
LRw_o3859,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
cjibt14396JgHub4226,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
oDXZc8237,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
NyBmC4274,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
jcoYJ1675,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
3eYKf2480RBCAB2495,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
